#ndep: 2897
#depth (km)   Vsh_arithmetic (km/s)   Vsh_geometric (km/s)
   548.0           5.3214E+00              5.3211E+00
   549.0           5.3237E+00              5.3233E+00
   550.0           5.3259E+00              5.3256E+00
   551.0           5.3283E+00              5.3280E+00
   552.0           5.3306E+00              5.3303E+00
   553.0           5.3329E+00              5.3325E+00
   554.0           5.3351E+00              5.3348E+00
   555.0           5.3374E+00              5.3371E+00
   556.0           5.3398E+00              5.3395E+00
   557.0           5.3421E+00              5.3418E+00
   558.0           5.3444E+00              5.3440E+00
   559.0           5.3466E+00              5.3463E+00
   560.0           5.3489E+00              5.3486E+00
   561.0           5.3513E+00              5.3510E+00
   562.0           5.3536E+00              5.3533E+00
   563.0           5.3559E+00              5.3556E+00
   564.0           5.3582E+00              5.3579E+00
   565.0           5.3605E+00              5.3602E+00
   566.0           5.3629E+00              5.3626E+00
   567.0           5.3653E+00              5.3649E+00
   568.0           5.3676E+00              5.3672E+00
   569.0           5.3699E+00              5.3695E+00
   570.0           5.3722E+00              5.3719E+00
   571.0           5.3746E+00              5.3743E+00
   572.0           5.3769E+00              5.3766E+00
   573.0           5.3793E+00              5.3790E+00
   574.0           5.3816E+00              5.3813E+00
   575.0           5.3839E+00              5.3836E+00
   576.0           5.3864E+00              5.3861E+00
   577.0           5.3887E+00              5.3884E+00
   578.0           5.3911E+00              5.3908E+00
   579.0           5.3934E+00              5.3931E+00
   580.0           5.3958E+00              5.3955E+00
   581.0           5.3983E+00              5.3980E+00
   582.0           5.4006E+00              5.4003E+00
   583.0           5.4030E+00              5.4027E+00
   584.0           5.4054E+00              5.4051E+00
   585.0           5.4077E+00              5.4074E+00
   586.0           5.4103E+00              5.4100E+00
   587.0           5.4127E+00              5.4124E+00
   588.0           5.4151E+00              5.4148E+00
   589.0           5.4175E+00              5.4172E+00
   590.0           5.4199E+00              5.4195E+00
   591.0           5.4224E+00              5.4221E+00
   592.0           5.4249E+00              5.4246E+00
   593.0           5.4273E+00              5.4270E+00
   594.0           5.4297E+00              5.4294E+00
   595.0           5.4322E+00              5.4319E+00
   596.0           5.4348E+00              5.4345E+00
   597.0           5.4372E+00              5.4369E+00
   598.0           5.4397E+00              5.4394E+00
   599.0           5.4422E+00              5.4419E+00
   600.0           5.4447E+00              5.4444E+00
   601.0           5.4473E+00              5.4470E+00
   602.0           5.4497E+00              5.4494E+00
   603.0           5.4522E+00              5.4519E+00
   604.0           5.4546E+00              5.4543E+00
   605.0           5.4570E+00              5.4567E+00
   606.0           5.4596E+00              5.4593E+00
   607.0           5.4620E+00              5.4617E+00
   608.0           5.4645E+00              5.4642E+00
   609.0           5.4669E+00              5.4666E+00
   610.0           5.4693E+00              5.4690E+00
   611.0           5.4719E+00              5.4716E+00
   612.0           5.4744E+00              5.4741E+00
   613.0           5.4768E+00              5.4765E+00
   614.0           5.4792E+00              5.4789E+00
   615.0           5.4817E+00              5.4814E+00
   616.0           5.4843E+00              5.4840E+00
   617.0           5.4868E+00              5.4864E+00
   618.0           5.4892E+00              5.4889E+00
   619.0           5.4917E+00              5.4914E+00
   620.0           5.4941E+00              5.4938E+00
   621.0           5.4968E+00              5.4965E+00
   622.0           5.4993E+00              5.4989E+00
   623.0           5.5017E+00              5.5014E+00
   624.0           5.5042E+00              5.5039E+00
   625.0           5.5067E+00              5.5064E+00
   626.0           5.5094E+00              5.5090E+00
   627.0           5.5118E+00              5.5115E+00
   628.0           5.5143E+00              5.5140E+00
   629.0           5.5168E+00              5.5165E+00
   630.0           5.5193E+00              5.5190E+00
   631.0           5.5220E+00              5.5216E+00
   632.0           5.5244E+00              5.5241E+00
   633.0           5.5269E+00              5.5266E+00
   634.0           5.5294E+00              5.5290E+00
   635.0           5.5318E+00              5.5315E+00
   636.0           5.5344E+00              5.5341E+00
   637.0           5.5368E+00              5.5365E+00
   638.0           5.5393E+00              5.5389E+00
   639.0           5.5417E+00              5.5413E+00
   640.0           5.5441E+00              5.5438E+00
   641.0           5.5466E+00              5.5462E+00
   642.0           5.5489E+00              5.5485E+00
   643.0           5.5512E+00              5.5508E+00
   644.0           5.5535E+00              5.5532E+00
   645.0           5.5558E+00              5.5555E+00
   646.0           5.5947E+00              5.5942E+00
   647.0           5.6419E+00              5.6409E+00
   648.0           5.6891E+00              5.6872E+00
   649.0           5.7363E+00              5.7330E+00
